estadoCivil,nombreCurso,nota,periodo
Soltero,Seminario de Ing. de Datos e IA,4.0,2024-01-01T00:00:00.000Z
Union libre,Seminario de Ing. de Datos e IA,2.9,2024-01-01T00:00:00.000Z
Soltero,Seminario de Ing. de Datos e IA,2.7,2024-01-01T00:00:00.000Z
Soltero,Seminario de Ing. de Datos e IA,0.6,2024-01-01T00:00:00.000Z
Soltero,Seminario de Ing. de Datos e IA,0.3,2024-01-01T00:00:00.000Z
Soltero,Redes e Infraestructura,4.9,2021-01-01T00:00:00.000Z
Soltero,Redes e Infraestructura,4.8,2021-01-01T00:00:00.000Z
Soltero,Redes e Infraestructura,0.0,2021-01-01T00:00:00.000Z
Soltero,Redes e Infraestructura,3.0,2021-01-01T00:00:00.000Z
Soltero,Redes e Infraestructura,4.9,2021-01-01T00:00:00.000Z
Soltero,Inteligencia Artificial,2.8,2024-03-01T00:00:00.000Z
Soltero,Inteligencia Artificial,3.5,2024-03-01T00:00:00.000Z
Soltero,Inteligencia Artificial,4.3,2024-03-01T00:00:00.000Z
Soltero,Inteligencia Artificial,0.4,2024-03-01T00:00:00.000Z
Casado,Inteligencia Artificial,2.7,2024-03-01T00:00:00.000Z
Soltero,Innovación y Emprendimiento,1.2,2024-03-01T00:00:00.000Z
Soltero,Innovación y Emprendimiento,1.6,2024-03-01T00:00:00.000Z
Soltero,Innovación y Emprendimiento,2.3,2024-03-01T00:00:00.000Z
Soltero,Innovación y Emprendimiento,0.3,2024-03-01T00:00:00.000Z
Soltero,Innovación y Emprendimiento,2.9,2024-03-01T00:00:00.000Z
Soltero,Electiva Profesional 5,2.5,2022-01-01T00:00:00.000Z
Soltero,Electiva Profesional 5,4.9,2022-01-01T00:00:00.000Z
Soltero,Electiva Profesional 5,3.6,2022-01-01T00:00:00.000Z
Soltero,Electiva Profesional 5,3.4,2022-01-01T00:00:00.000Z
Soltero,Electiva Profesional 5,1.6,2022-01-01T00:00:00.000Z
Soltero,Matemáticas Fundamentales,3.0,2022-03-01T00:00:00.000Z
Soltero,Matemáticas Fundamentales,1.3,2022-03-01T00:00:00.000Z
Soltero,Matemáticas Fundamentales,1.1,2022-03-01T00:00:00.000Z
Soltero,Matemáticas Fundamentales,1.9,2022-03-01T00:00:00.000Z
Casado,Matemáticas Fundamentales,0.9,2022-03-01T00:00:00.000Z
Divorciado,Almacenamiento de datos,0.3,2023-01-01T00:00:00.000Z
