genero,nombreCurso,nota,periodo
Femenino,Seminario de Ing. de Datos e IA,4.0,2024-01-01T00:00:00.000Z
Masculino,Seminario de Ing. de Datos e IA,2.9,2024-01-01T00:00:00.000Z
Masculino,Seminario de Ing. de Datos e IA,2.7,2024-01-01T00:00:00.000Z
Masculino,Seminario de Ing. de Datos e IA,0.6,2024-01-01T00:00:00.000Z
Femenino,Seminario de Ing. de Datos e IA,0.3,2024-01-01T00:00:00.000Z
Masculino,Redes e Infraestructura,4.9,2021-01-01T00:00:00.000Z
Femenino,Redes e Infraestructura,4.8,2021-01-01T00:00:00.000Z
Femenino,Redes e Infraestructura,0.0,2021-01-01T00:00:00.000Z
Femenino,Redes e Infraestructura,3.0,2021-01-01T00:00:00.000Z
Masculino,Redes e Infraestructura,4.9,2021-01-01T00:00:00.000Z
Femenino,Inteligencia Artificial,2.8,2024-03-01T00:00:00.000Z
Femenino,Inteligencia Artificial,3.5,2024-03-01T00:00:00.000Z
Masculino,Inteligencia Artificial,4.3,2024-03-01T00:00:00.000Z
Masculino,Inteligencia Artificial,0.4,2024-03-01T00:00:00.000Z
Femenino,Inteligencia Artificial,2.7,2024-03-01T00:00:00.000Z
Femenino,Innovación y Emprendimiento,1.2,2024-03-01T00:00:00.000Z
Masculino,Innovación y Emprendimiento,1.6,2024-03-01T00:00:00.000Z
Femenino,Innovación y Emprendimiento,2.3,2024-03-01T00:00:00.000Z
Femenino,Innovación y Emprendimiento,0.3,2024-03-01T00:00:00.000Z
Femenino,Innovación y Emprendimiento,2.9,2024-03-01T00:00:00.000Z
Masculino,Electiva Profesional 5,2.5,2022-01-01T00:00:00.000Z
Masculino,Electiva Profesional 5,4.9,2022-01-01T00:00:00.000Z
Femenino,Electiva Profesional 5,3.6,2022-01-01T00:00:00.000Z
Femenino,Electiva Profesional 5,3.4,2022-01-01T00:00:00.000Z
Femenino,Electiva Profesional 5,1.6,2022-01-01T00:00:00.000Z
Masculino,Matemáticas Fundamentales,3.0,2022-03-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,1.3,2022-03-01T00:00:00.000Z
Masculino,Matemáticas Fundamentales,1.1,2022-03-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,1.9,2022-03-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,0.9,2022-03-01T00:00:00.000Z
Masculino,Almacenamiento de datos,0.3,2023-01-01T00:00:00.000Z
Masculino,Almacenamiento de datos,3.0,2023-01-01T00:00:00.000Z
Femenino,Almacenamiento de datos,3.1,2023-01-01T00:00:00.000Z
Femenino,Almacenamiento de datos,3.4,2023-01-01T00:00:00.000Z
Masculino,Almacenamiento de datos,2.3,2023-01-01T00:00:00.000Z
Masculino,Electiva Libre I,3.8,2023-03-01T00:00:00.000Z
Masculino,Electiva Libre I,3.3,2023-03-01T00:00:00.000Z
Masculino,Electiva Libre I,2.1,2023-03-01T00:00:00.000Z
Femenino,Electiva Libre I,2.9,2023-03-01T00:00:00.000Z
Femenino,Electiva Libre I,0.2,2023-03-01T00:00:00.000Z
Femenino,Sistemas Operativos,3.5,2022-03-01T00:00:00.000Z
Masculino,Sistemas Operativos,4.7,2022-03-01T00:00:00.000Z
Femenino,Sistemas Operativos,0.0,2022-03-01T00:00:00.000Z
Masculino,Sistemas Operativos,2.3,2022-03-01T00:00:00.000Z
Femenino,Sistemas Operativos,0.5,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 3,0.7,2021-01-01T00:00:00.000Z
Femenino,Electiva Profesional 3,1.1,2021-01-01T00:00:00.000Z
Masculino,Electiva Profesional 3,3.8,2021-01-01T00:00:00.000Z
Femenino,Electiva Profesional 3,0.7,2021-01-01T00:00:00.000Z
Femenino,Electiva Profesional 3,2.7,2021-01-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,0.4,2022-03-01T00:00:00.000Z
