necesidadesEspecialesEducacion,nombreCurso,nota,periodo
no,Seminario de Ing. de Datos e IA,4.0,2024-01-01T00:00:00.000Z
no,Seminario de Ing. de Datos e IA,2.9,2024-01-01T00:00:00.000Z
no,Seminario de Ing. de Datos e IA,2.7,2024-01-01T00:00:00.000Z
no,Seminario de Ing. de Datos e IA,0.6,2024-01-01T00:00:00.000Z
no,Seminario de Ing. de Datos e IA,0.3,2024-01-01T00:00:00.000Z
no,Redes e Infraestructura,4.9,2021-01-01T00:00:00.000Z
no,Redes e Infraestructura,4.8,2021-01-01T00:00:00.000Z
si,Redes e Infraestructura,0.0,2021-01-01T00:00:00.000Z
no,Redes e Infraestructura,3.0,2021-01-01T00:00:00.000Z
no,Redes e Infraestructura,4.9,2021-01-01T00:00:00.000Z
no,Inteligencia Artificial,2.8,2024-03-01T00:00:00.000Z
no,Inteligencia Artificial,3.5,2024-03-01T00:00:00.000Z
no,Inteligencia Artificial,4.3,2024-03-01T00:00:00.000Z
no,Inteligencia Artificial,0.4,2024-03-01T00:00:00.000Z
no,Inteligencia Artificial,2.7,2024-03-01T00:00:00.000Z
no,Innovación y Emprendimiento,1.2,2024-03-01T00:00:00.000Z
no,Innovación y Emprendimiento,1.6,2024-03-01T00:00:00.000Z
no,Innovación y Emprendimiento,2.3,2024-03-01T00:00:00.000Z
no,Innovación y Emprendimiento,0.3,2024-03-01T00:00:00.000Z
no,Innovación y Emprendimiento,2.9,2024-03-01T00:00:00.000Z
no,Electiva Profesional 5,2.5,2022-01-01T00:00:00.000Z
no,Electiva Profesional 5,4.9,2022-01-01T00:00:00.000Z
no,Electiva Profesional 5,3.6,2022-01-01T00:00:00.000Z
no,Electiva Profesional 5,3.4,2022-01-01T00:00:00.000Z
no,Electiva Profesional 5,1.6,2022-01-01T00:00:00.000Z
no,Matemáticas Fundamentales,3.0,2022-03-01T00:00:00.000Z
no,Matemáticas Fundamentales,1.3,2022-03-01T00:00:00.000Z
no,Matemáticas Fundamentales,1.1,2022-03-01T00:00:00.000Z
no,Matemáticas Fundamentales,1.9,2022-03-01T00:00:00.000Z
no,Matemáticas Fundamentales,0.9,2022-03-01T00:00:00.000Z
no,Almacenamiento de datos,0.3,2023-01-01T00:00:00.000Z
no,Almacenamiento de datos,3.0,2023-01-01T00:00:00.000Z
no,Almacenamiento de datos,3.1,2023-01-01T00:00:00.000Z
no,Almacenamiento de datos,3.4,2023-01-01T00:00:00.000Z
no,Almacenamiento de datos,2.3,2023-01-01T00:00:00.000Z
no,Electiva Libre I,3.8,2023-03-01T00:00:00.000Z
no,Electiva Libre I,3.3,2023-03-01T00:00:00.000Z
no,Electiva Libre I,2.1,2023-03-01T00:00:00.000Z
no,Electiva Libre I,2.9,2023-03-01T00:00:00.000Z
no,Electiva Libre I,0.2,2023-03-01T00:00:00.000Z
no,Sistemas Operativos,3.5,2022-03-01T00:00:00.000Z
no,Sistemas Operativos,4.7,2022-03-01T00:00:00.000Z
no,Sistemas Operativos,0.0,2022-03-01T00:00:00.000Z
no,Sistemas Operativos,2.3,2022-03-01T00:00:00.000Z
no,Sistemas Operativos,0.5,2022-03-01T00:00:00.000Z
no,Electiva Profesional 3,0.7,2021-01-01T00:00:00.000Z
no,Electiva Profesional 3,1.1,2021-01-01T00:00:00.000Z
no,Electiva Profesional 3,3.8,2021-01-01T00:00:00.000Z
no,Electiva Profesional 3,0.7,2021-01-01T00:00:00.000Z
no,Electiva Profesional 3,2.7,2021-01-01T00:00:00.000Z
no,Formación Ciudadana I : Identidades y Pluralismo,0.4,2022-03-01T00:00:00.000Z
no,Formación Ciudadana I : Identidades y Pluralismo,1.9,2022-03-01T00:00:00.000Z
no,Formación Ciudadana I : Identidades y Pluralismo,2.5,2022-03-01T00:00:00.000Z
no,Formación Ciudadana I : Identidades y Pluralismo,0.7,2022-03-01T00:00:00.000Z
no,Formación Ciudadana I : Identidades y Pluralismo,4.1,2022-03-01T00:00:00.000Z
no,Electiva profesional 4,0.9,2021-01-01T00:00:00.000Z
no,Electiva profesional 4,0.4,2021-01-01T00:00:00.000Z
no,Electiva profesional 4,2.3,2021-01-01T00:00:00.000Z
no,Electiva profesional 4,2.5,2021-01-01T00:00:00.000Z
no,Electiva profesional 4,0.7,2021-01-01T00:00:00.000Z
no,Redes e Infraestructura,1.6,2023-03-01T00:00:00.000Z
no,Redes e Infraestructura,3.2,2023-03-01T00:00:00.000Z
no,Redes e Infraestructura,3.5,2023-03-01T00:00:00.000Z
no,Redes e Infraestructura,3.4,2023-03-01T00:00:00.000Z
no,Redes e Infraestructura,0.5,2023-03-01T00:00:00.000Z
no,Electiva Profesional 5,2.8,2022-03-01T00:00:00.000Z
no,Electiva Profesional 5,0.5,2022-03-01T00:00:00.000Z
no,Electiva Profesional 5,4.6,2022-03-01T00:00:00.000Z
no,Electiva Profesional 5,1.5,2022-03-01T00:00:00.000Z
no,Electiva Profesional 5,4.4,2022-03-01T00:00:00.000Z
no,Electiva Profesional 1,3.7,2021-03-01T00:00:00.000Z
no,Electiva Profesional 1,3.3,2021-03-01T00:00:00.000Z
no,Electiva Profesional 1,0.3,2021-03-01T00:00:00.000Z
no,Electiva Profesional 1,4.0,2021-03-01T00:00:00.000Z
no,Electiva Profesional 1,4.7,2021-03-01T00:00:00.000Z
no,Formación Ciudadana I : Identidades y Pluralismo,2.2,2024-03-01T00:00:00.000Z
no,Formación Ciudadana I : Identidades y Pluralismo,3.9,2024-03-01T00:00:00.000Z
no,Formación Ciudadana I : Identidades y Pluralismo,2.9,2024-03-01T00:00:00.000Z
no,Formación Ciudadana I : Identidades y Pluralismo,2.5,2024-03-01T00:00:00.000Z
no,Formación Ciudadana I : Identidades y Pluralismo,4.2,2024-03-01T00:00:00.000Z
no,Matemáticas Fundamentales,3.6,2023-03-01T00:00:00.000Z
no,Matemáticas Fundamentales,3.7,2023-03-01T00:00:00.000Z
no,Matemáticas Fundamentales,3.0,2023-03-01T00:00:00.000Z
