paisOrigen,nombreCurso,nota,periodo
Portugal,Seminario de Ing. de Datos e IA,4.0,2024-01-01T00:00:00.000Z
Portugal,Seminario de Ing. de Datos e IA,2.9,2024-01-01T00:00:00.000Z
Portugal,Seminario de Ing. de Datos e IA,2.7,2024-01-01T00:00:00.000Z
Portugal,Seminario de Ing. de Datos e IA,0.6,2024-01-01T00:00:00.000Z
Portugal,Seminario de Ing. de Datos e IA,0.3,2024-01-01T00:00:00.000Z
Portugal,Redes e Infraestructura,4.9,2021-01-01T00:00:00.000Z
Portugal,Redes e Infraestructura,4.8,2021-01-01T00:00:00.000Z
Portugal,Redes e Infraestructura,0.0,2021-01-01T00:00:00.000Z
Portugal,Redes e Infraestructura,3.0,2021-01-01T00:00:00.000Z
Portugal,Redes e Infraestructura,4.9,2021-01-01T00:00:00.000Z
Portugal,Inteligencia Artificial,2.8,2024-03-01T00:00:00.000Z
Portugal,Inteligencia Artificial,3.5,2024-03-01T00:00:00.000Z
Portugal,Inteligencia Artificial,4.3,2024-03-01T00:00:00.000Z
Portugal,Inteligencia Artificial,0.4,2024-03-01T00:00:00.000Z
Portugal,Inteligencia Artificial,2.7,2024-03-01T00:00:00.000Z
Portugal,Innovación y Emprendimiento,1.2,2024-03-01T00:00:00.000Z
Portugal,Innovación y Emprendimiento,1.6,2024-03-01T00:00:00.000Z
Portugal,Innovación y Emprendimiento,2.3,2024-03-01T00:00:00.000Z
Portugal,Innovación y Emprendimiento,0.3,2024-03-01T00:00:00.000Z
Portugal,Innovación y Emprendimiento,2.9,2024-03-01T00:00:00.000Z
Portugal,Electiva Profesional 5,2.5,2022-01-01T00:00:00.000Z
Portugal,Electiva Profesional 5,4.9,2022-01-01T00:00:00.000Z
Portugal,Electiva Profesional 5,3.6,2022-01-01T00:00:00.000Z
Portugal,Electiva Profesional 5,3.4,2022-01-01T00:00:00.000Z
Portugal,Electiva Profesional 5,1.6,2022-01-01T00:00:00.000Z
Portugal,Matemáticas Fundamentales,3.0,2022-03-01T00:00:00.000Z
Portugal,Matemáticas Fundamentales,1.3,2022-03-01T00:00:00.000Z
Portugal,Matemáticas Fundamentales,1.1,2022-03-01T00:00:00.000Z
Portugal,Matemáticas Fundamentales,1.9,2022-03-01T00:00:00.000Z
Portugal,Matemáticas Fundamentales,0.9,2022-03-01T00:00:00.000Z
Portugal,Almacenamiento de datos,0.3,2023-01-01T00:00:00.000Z
Portugal,Almacenamiento de datos,3.0,2023-01-01T00:00:00.000Z
Portugal,Almacenamiento de datos,3.1,2023-01-01T00:00:00.000Z
Portugal,Almacenamiento de datos,3.4,2023-01-01T00:00:00.000Z
Portugal,Almacenamiento de datos,2.3,2023-01-01T00:00:00.000Z
Portugal,Electiva Libre I,3.8,2023-03-01T00:00:00.000Z
Portugal,Electiva Libre I,3.3,2023-03-01T00:00:00.000Z
Portugal,Electiva Libre I,2.1,2023-03-01T00:00:00.000Z
Portugal,Electiva Libre I,2.9,2023-03-01T00:00:00.000Z
Portugal,Electiva Libre I,0.2,2023-03-01T00:00:00.000Z
